timestamp,instance_id,region,instance_type,service_tier,cpu_util,mem_util,p99_latency_ms,request_rate,error_rate_pct,queue_depth,cache_hit_ratio,gc_pause_ms,active_connections,disk_io_wait_ms,deploy_phase,incident
2026-01-05 00:00:00,gw-00,us-east-1,m5.large,pro,0.508,0.3393,895.1,951.97,0.2074,8,0.8402,10.78,415.2,3.038,A,0
2026-01-05 00:00:00,gw-01,us-east-1,c5.xlarge,pro,0.4267,0.8441,219.14,488.65,0.0477,7,0.8879,115.969,327.7,4.429,A,0
2026-01-05 00:00:00,gw-02,us-east-1,r5.2xlarge,pro,0.5395,0.6639,39.15,513.82,0.4007,6,0.896,3.566,244.2,0.677,A,0
2026-01-05 00:00:00,gw-03,us-west-2,m5.large,enterprise,0.922,0.8318,44.92,867.75,0.1104,8,0.9114,15.137,514.3,1.177,A,0
2026-01-05 00:00:00,gw-04,us-west-2,c5.xlarge,free,0.6804,0.6654,43.19,525.37,0.0077,10,0.886,16.193,354.5,0.791,A,0
2026-01-05 00:00:00,gw-05,us-west-2,r5.2xlarge,enterprise,0.6323,0.6952,138.82,1057.18,0.6165,9,0.9341,10.891,594.0,0.245,A,0
2026-01-05 00:00:00,gw-06,eu-central-1,m5.large,pro,0.6737,0.5017,90.62,1312.4,0.1552,15,0.905,17.581,397.9,1.431,A,0
2026-01-05 00:00:00,gw-07,eu-central-1,c5.xlarge,free,0.4474,0.6004,33.49,454.36,0.0614,6,0.9845,90.026,362.0,0.434,A,0
2026-01-05 00:00:00,gw-08,eu-central-1,r5.2xlarge,free,0.405,0.4546,1998.86,608.15,0.3812,17,0.9331,27.005,523.2,2.036,A,0
2026-01-05 00:00:00,gw-09,ap-south-1,m5.large,free,0.8067,0.6908,63.08,1721.77,0.5001,15,0.9455,42.938,493.8,2.381,A,1
2026-01-05 00:00:00,gw-10,ap-south-1,c5.xlarge,pro,0.6354,0.5178,293.68,693.81,1.6202,16,0.8028,8.359,387.1,0.504,A,1
2026-01-05 00:00:00,gw-11,ap-south-1,r5.2xlarge,pro,0.565,0.8831,91.55,473.11,0.9518,0,0.9463,301.658,594.0,0.734,A,1
2026-01-05 00:00:00,gw-12,us-east-1,m5.large,free,0.5721,0.6185,166.57,813.52,0.4966,12,0.9053,16.759,398.2,2.014,A,0
2026-01-05 00:00:00,gw-13,us-east-1,c5.xlarge,free,0.5282,0.5625,53.32,958.54,0.3694,4,0.7084,16.823,498.9,1.23,A,0
2026-01-05 00:00:00,gw-14,us-east-1,r5.2xlarge,free,0.3206,0.4728,28.65,397.77,0.0169,2,0.9275,7.956,394.2,0.191,A,0
2026-01-05 00:00:00,gw-14,us-east-1,r5.2xlarge,free,0.3206,0.4728,28.65,397.77,0.0169,2,0.9275,7.956,394.2,0.191,A,0
2026-01-05 00:00:00,gw-15,us-west-2,m5.large,pro,0.3067,0.4455,434.03,429.14,0.186,14,0.871,,290.4,1.631,A,0
2026-01-05 00:00:00,gw-16,us-west-2,c5.xlarge,enterprise,0.3358,0.4311,63.96,389.54,0.0081,6,0.8862,111.462,229.8,1.246,A,1
2026-01-05 00:00:00,gw-17,us-west-2,r5.2xlarge,pro,0.3111,0.6285,3536.95,220.3,0.0706,11,0.9337,66.231,230.9,2.094,A,0
2026-01-05 00:00:00,gw-18,eu-central-1,m5.large,enterprise,0.4524,0.8175,853.93,361.18,0.0145,9,0.8476,171.541,258.0,12.444,A,0
2026-01-05 00:00:00,gw-19,eu-central-1,c5.xlarge,enterprise,0.4543,0.5266,136.2,602.97,0.0993,4,0.9719,18.913,410.2,2.214,A,0
2026-01-05 00:00:00,gw-20,eu-central-1,r5.2xlarge,free,0.2997,0.4732,74.13,534.69,0.0332,2,0.8298,18.863,543.2,0.85,A,0
2026-01-05 00:00:00,gw-21,ap-south-1,m5.large,enterprise,0.4808,0.4642,100.34,486.71,0.109,28,0.9132,21.345,233.4,0.042,A,0
2026-01-05 00:00:00,gw-22,ap-south-1,c5.xlarge,pro,0.4979,0.5432,124.3,1292.46,0.5278,17,0.8299,125.273,705.6,0.043,A,0
2026-01-05 00:00:00,gw-23,ap-south-1,r5.2xlarge,pro,0.3738,0.578,157.97,391.76,0.1039,8,0.9806,93.298,339.3,0.397,A,0
2026-01-05 02:00:00,gw-00,us-east-1,m5.large,pro,0.2618,0.3453,2.93,555.5,0.0213,5,0.9253,9.489,275.2,0.521,A,0
2026-01-05 02:00:00,gw-01,us-east-1,c5.xlarge,free,0.3529,0.3924,1273.73,503.91,0.1805,9,0.9208,8.968,668.4,1.674,A,0
2026-01-05 02:00:00,gw-02,us-east-1,r5.2xlarge,free,0.633,0.7283,235.19,1198.22,1.2586,19,0.8712,3.867,595.4,6.42,A,0
2026-01-05 02:00:00,gw-03,us-west-2,m5.large,pro,0.7116,0.4985,1079.84,558.45,0.4221,17,0.8759,187.915,221.4,0.925,A,1
2026-01-05 02:00:00,gw-04,us-west-2,c5.xlarge,enterprise,0.4549,0.372,598.51,1126.7,0.6649,10,0.9757,1.309,1019.9,3.909,A,0
2026-01-05 02:00:00,gw-05,us-west-2,r5.2xlarge,free,0.4294,0.3535,56.21,897.04,0.0,12,0.854,1.721,613.2,0.958,A,0
2026-01-05 02:00:00,gw-06,eu-central-1,m5.large,pro,0.6177,0.8204,25.52,1481.38,0.4136,9,0.673,263.26,420.5,0.099,A,1
2026-01-05 02:00:00,gw-07,eu-central-1,c5.xlarge,enterprise,0.7322,0.8088,18.24,766.14,0.0033,8,0.92,126.707,363.4,0.851,A,0
2026-01-05 02:00:00,gw-08,eu-central-1,r5.2xlarge,free,0.7264,0.5056,97.61,1520.5,0.1542,16,0.9434,63.392,664.2,1.341,A,0
2026-01-05 02:00:00,gw-09,ap-south-1,m5.large,enterprise,0.5542,0.7065,157.47,1403.79,1.1353,16,0.8843,11.66,794.5,3.656,A,1
2026-01-05 02:00:00,gw-10,ap-south-1,c5.xlarge,pro,0.4547,0.408,307.83,676.97,0.0012,10,0.9269,12.694,333.6,0.504,A,0
2026-01-05 02:00:00,gw-11,ap-south-1,r5.2xlarge,free,0.7583,0.728,38.03,883.61,0.0016,11,0.8858,17.209,290.9,2.899,A,1
2026-01-05 02:00:00,gw-12,us-east-1,m5.large,enterprise,0.4927,0.5416,264.42,877.38,0.0261,16,0.8164,93.072,389.2,7.28,A,1
2026-01-05 02:00:00,gw-13,us-east-1,c5.xlarge,pro,0.8208,0.7621,203.76,1805.33,0.0863,19,0.6177,105.127,415.3,1.773,A,1
2026-01-05 02:00:00,gw-14,us-east-1,r5.2xlarge,enterprise,0.383,0.3795,773.62,1348.62,1.0411,17,0.8742,25.887,502.3,0.494,A,0
2026-01-05 02:00:00,gw-15,us-west-2,m5.large,pro,0.6324,0.48,334.4,870.91,1.4435,20,0.8332,1.309,432.0,1.034,A,0
2026-01-05 02:00:00,gw-16,us-west-2,c5.xlarge,free,0.2098,0.7605,108.6,286.55,1.7456,3,0.9059,59.586,334.8,0.404,A,0
2026-01-05 02:00:00,gw-17,us-west-2,r5.2xlarge,free,0.4002,0.8254,145.79,1013.92,0.0691,6,0.866,264.89,559.6,4.602,A,0
2026-01-05 02:00:00,gw-18,eu-central-1,m5.large,pro,0.5126,0.4717,7.83,766.03,0.0002,11,0.6906,1.617,275.8,0.29,A,0
2026-01-05 02:00:00,gw-19,eu-central-1,c5.xlarge,enterprise,0.812,0.4418,22.81,1869.77,0.2954,15,0.9048,8.075,440.3,0.253,A,0
2026-01-05 02:00:00,gw-20,eu-central-1,r5.2xlarge,pro,0.7268,0.9347,69.76,336.84,0.0002,9,0.8805,80.702,228.0,0.424,A,0
2026-01-05 02:00:00,gw-21,ap-south-1,m5.large,enterprise,0.5304,0.4458,712.51,702.46,1.1005,18,0.9192,4.903,269.1,3.526,A,1
2026-01-05 02:00:00,gw-22,ap-south-1,c5.xlarge,enterprise,0.3945,0.3331,977.74,1222.73,0.4762,19,0.8953,18.418,598.4,0.287,A,1
2026-01-05 02:00:00,gw-23,ap-south-1,r5.2xlarge,enterprise,0.5889,0.4727,46.8,1472.16,0.6758,8,,16.77,448.7,0.216,A,0
2026-01-05 04:00:00,gw-00,us-east-1,m5.large,free,0.3373,0.538,685.34,691.33,0.6343,12,0.8194,18.365,365.3,1.759,A,0
2026-01-05 04:00:00,gw-01,us-east-1,c5.xlarge,pro,0.1437,0.199,258.8,1112.92,1.3126,12,0.8977,18.921,560.6,1.713,A,0
2026-01-05 04:00:00,gw-02,us-east-1,r5.2xlarge,pro,0.7136,0.9114,51.59,1241.05,0.0593,1,0.8776,133.963,850.9,4.556,A,0
2026-01-05 04:00:00,gw-03,us-west-2,m5.large,free,0.6062,0.7483,28.51,529.92,0.0303,9,0.9676,5.603,491.1,0.248,A,0
2026-01-05 04:00:00,gw-04,us-west-2,c5.xlarge,free,0.7652,0.4228,506.55,2143.1,0.223,33,0.9618,4.149,996.4,3.36,A,1
2026-01-05 04:00:00,gw-05,us-west-2,r5.2xlarge,enterprise,0.5751,0.6076,181.75,1212.81,0.0402,7,0.7701,7.467,811.9,7.2,A,0
2026-01-05 04:00:00,gw-06,eu-central-1,m5.large,free,0.2464,0.59,4393.82,817.06,1.2869,6,0.8982,30.621,1216.2,3.219,A,1
2026-01-05 04:00:00,gw-07,eu-central-1,c5.xlarge,free,0.2615,0.6066,94.6,868.41,0.4215,6,0.8505,3.519,926.6,3.916,A,0
