row_id,window_start,node_id,phase,cpu_util,mem_pressure,disk_latency_ms,request_rate_rps,error_rate_pct,queue_depth,cache_hit_ratio,temperature_c,incident,split
0,2026-05-04 00:00:00,node-00,pre_deploy,0.5419,0.4384,14.828,99.09,0.9291,8,0.9356,45.99,0,train
1,2026-05-04 00:05:00,node-00,pre_deploy,0.3789,0.7068,9.167,166.63,0.5616,20,0.7659,38.9,0,train
2,2026-05-04 00:10:00,node-00,pre_deploy,0.459,0.3058,6.316,124.04,0.5552,2,0.9197,36.7,0,val
3,2026-05-04 00:15:00,node-00,pre_deploy,0.4048,0.2271,20.307,455.01,0.1787,15,0.9095,43.55,0,train
4,2026-05-04 00:20:00,node-00,pre_deploy,0.2625,0.2406,6.179,76.22,0.1984,2,0.9085,35.95,0,train
5,2026-05-04 00:25:00,node-00,pre_deploy,0.766,0.7993,7.227,548.28,2.1298,9,0.8359,46.23,1,train
6,2026-05-04 00:30:00,node-00,pre_deploy,0.4223,0.4322,10.014,221.67,0.5985,18,0.9023,47.43,0,test
7,2026-05-04 00:35:00,node-00,pre_deploy,0.5578,0.4701,5.178,250.2,1.9184,6,0.7618,43.06,0,val
8,2026-05-04 00:40:00,node-00,pre_deploy,0.5195,0.2371,17.689,763.37,0.2085,13,0.8447,51.12,0,train
9,2026-05-04 00:45:00,node-00,pre_deploy,0.7747,0.5808,4.143,952.36,0.0429,8,0.9153,50.49,0,train
10,2026-05-04 00:50:00,node-00,pre_deploy,0.8536,0.6925,7.799,393.64,0.2829,5,0.9847,50.43,1,train
11,2026-05-04 00:55:00,node-00,pre_deploy,0.7727,0.7914,17.654,815.68,0.5522,13,0.886,42.97,1,val
12,2026-05-04 01:00:00,node-00,pre_deploy,0.5771,0.5644,10.266,387.97,2.8598,8,0.7123,41.14,1,train
13,2026-05-04 01:05:00,node-00,pre_deploy,0.55,0.5105,2.716,808.28,0.0591,12,0.8938,44.43,0,train
14,2026-05-04 01:10:00,node-00,pre_deploy,0.6198,0.259,7.855,1280.61,0.2898,7,0.7463,43.56,0,train
15,2026-05-04 01:15:00,node-00,pre_deploy,0.3245,0.4971,4.221,88.86,0.5108,1,0.8863,31.73,0,train
16,2026-05-04 01:20:00,node-00,pre_deploy,0.5955,0.3479,15.069,178.22,1.021,2,0.866,40.8,1,train
17,2026-05-04 01:25:00,node-00,pre_deploy,0.8297,0.3455,7.138,1161.02,0.228,15,0.9725,61.32,0,train
18,2026-05-04 01:30:00,node-00,pre_deploy,0.5556,0.245,14.446,1024.29,0.4868,11,0.9344,44.16,1,train
