row_id,region,cluster_id,instance_type,deploy_channel,os_image,cpu_util,mem_pressure,disk_latency_ms,request_rate_rps,error_rate_pct,queue_depth,cache_hit_ratio,node_age_days,power_draw_watts,incident,split
0,us-east,us-east-c15,m6i.2xlarge,stable,debian-12-v1,0.5746,0.1837,12.899,654.92,1.2068,6,0.9122,1142.8,355.3,0,test
1,eu-central,eu-central-c11,c6i.xlarge,stable,ubuntu-22.04-v2,0.4722,0.2874,4.047,102.24,0.437,8,0.9955,752.3,283.48,0,test
2,us-west,us-west-c05,m6i.large,canary,ubuntu-22.04-v1,0.4823,0.4638,7.675,108.1,0.6557,8,0.9823,1092.5,305.33,0,train
3,us-east,us-east-c28,c6i.xlarge,stable,al2023-v3,0.5154,0.2338,13.924,1052.75,1.0404,20,0.8832,188.1,362.78,0,val
4,eu-central,eu-central-c10,m6i.large,stable,al2023-v1,0.4779,0.5266,4.261,130.7,0.0017,7,0.9278,58.9,285.32,0,train
5,us-east,us-east-c28,m6i.2xlarge,stable,ubuntu-22.04-v1,0.5324,0.4327,14.431,754.77,0.281,10,0.6814,983.5,374.57,0,test
6,me-central,me-central-c02,c6i.xlarge,stable,ubuntu-22.04-v1,0.5575,0.4245,4.709,857.25,0.1618,8,0.8613,199.5,361.16,0,train
7,us-west,us-west-c06,t3.large,stable,debian-12-v1,0.4126,0.331,10.219,47.64,1.5116,3,0.962,180.3,248.83,0,train
8,eu-west,eu-west-c19,r6i.2xlarge,beta,debian-12-v1,0.5673,0.653,7.257,541.59,0.4543,15,0.8122,154.8,392.81,0,val
9,ca-central,ca-central-c06,c6i.xlarge,stable,al2023-v3,0.5557,0.6929,22.056,86.5,0.2478,13,0.9715,1081.4,334.16,0,val
10,eu-central,eu-central-c12,m6i.2xlarge,stable,ubuntu-22.04-v3,0.8071,0.6015,7.769,757.41,0.0326,11,0.9396,57.6,408.65,0,test
11,ap-south,ap-south-c12,m6i.2xlarge,beta,ubuntu-24.04-v2,0.8039,0.4618,4.473,850.8,0.0936,7,0.9532,205.6,422.54,0,train
12,us-east,us-east-c15,t3.large,beta,debian-12-v3,0.6068,0.5651,16.136,134.99,0.134,11,0.9004,781.7,292.03,1,test
13,eu-west,eu-west-c25,c6i.xlarge,stable,debian-12-v1,0.6781,0.3808,3.255,126.64,0.4659,0,0.9103,245.8,297.75,0,train
14,me-central,me-central-c02,r6i.2xlarge,stable,ubuntu-22.04-v3,0.4797,0.6021,7.773,129.21,0.7541,14,0.9244,226.9,362.83,0,train
15,us-east,us-east-c13,c6i.xlarge,stable,ubuntu-24.04-v2,0.7102,0.4535,5.263,532.89,1.4192,8,0.934,145.8,336.15,0,test
16,me-central,me-central-c05,c6i.xlarge,stable,ubuntu-24.04-v3,0.6475,0.3582,17.248,1134.58,3.0033,24,0.9257,1064.4,426.55,0,val
17,eu-west,eu-west-c03,m6i.2xlarge,beta,al2023-v1,0.6786,0.482,7.813,163.33,0.605,1,0.7559,65.5,344.9,0,train
18,us-east,us-east-c14,m6i.large,stable,ubuntu-22.04-v3,0.6904,0.5166,28.697,174.49,0.4327,11,0.7849,842.7,358.01,0,train
19,eu-west,eu-west-c20,r6i.2xlarge,beta,ubuntu-24.04-v3,0.4265,0.4573,6.083,71.85,0.631,2,0.9108,108.1,316.85,0,train
20,eu-central,eu-central-c10,t3.large,beta,al2023-v1,0.5218,0.196,6.487,469.84,0.1033,5,0.8986,101.6,269.95,0,train
21,sa-east,sa-east-c07,m6i.2xlarge,stable,ubuntu-24.04-v2,0.3659,0.4355,4.89,154.93,0.2806,14,0.8237,985.2,334.45,0,train
22,ca-central,ca-central-c07,m6i.2xlarge,stable,ubuntu-22.04-v2,0.2634,0.3828,7.921,139.5,0.0724,9,0.7928,263.0,300.0,1,train
23,ca-central,ca-central-c11,r6i.2xlarge,beta,debian-12-v2,0.8928,0.386,11.288,2501.73,0.8098,26,0.7809,1128.9,518.66,0,train
24,eu-central,eu-central-c10,m6i.2xlarge,stable,ubuntu-22.04-v1,0.6885,0.7592,4.817,87.63,0.1112,6,0.896,1064.2,362.59,0,val
25,us-west,us-west-c04,r6i.2xlarge,stable,ubuntu-24.04-v3,0.8068,0.5023,12.456,185.09,0.0397,4,0.976,98.5,379.82,0,val
26,eu-west,eu-west-c08,m6i.large,stable,al2023-v3,0.6567,0.3375,2.076,169.15,0.0287,3,0.9344,122.6,311.34,0,train
27,sa-east,sa-east-c05,c6i.xlarge,beta,debian-12-v3,0.825,0.6871,4.186,527.53,0.7582,5,0.8491,31.3,348.47,0,test
28,eu-central,eu-central-c12,r6i.2xlarge,stable,ubuntu-24.04-v2,0.2374,0.1549,7.275,609.33,0.0547,10,0.7864,61.9,326.17,1,val
29,us-east,us-east-c21,c6i.xlarge,stable,al2023-v1,0.371,0.2608,5.518,769.7,0.0435,14,0.9769,1148.8,320.0,1,train
30,ap-northeast,ap-northeast-c01,m6i.large,stable,ubuntu-22.04-v2,0.6275,0.7188,9.303,245.89,1.5242,29,0.9684,176.0,395.33,0,test
31,eu-west,eu-west-c00,c6i.4xlarge,beta,ubuntu-24.04-v3,0.5844,0.4522,3.993,826.83,2.2445,16,0.9629,67.0,383.8,0,test
32,eu-west,eu-west-c25,m6i.2xlarge,stable,al2023-v3,0.6928,0.4189,11.357,830.85,1.2531,7,0.7542,212.4,390.44,0,val
33,eu-west,eu-west-c03,m6i.large,beta,debian-12-v2,0.6819,0.6967,5.59,519.77,1.3013,14,0.9807,206.6,346.48,0,val
34,us-east,us-east-c13,m6i.2xlarge,canary,ubuntu-22.04-v3,0.4805,0.3606,15.712,956.63,0.1911,26,0.9518,354.8,423.31,1,train
35,us-west,us-west-c06,m6i.2xlarge,stable,ubuntu-22.04-v2,0.5453,0.5397,25.662,182.48,0.9579,15,0.8636,499.3,347.23,0,train
36,ap-northeast,ap-northeast-c12,c6i.xlarge,stable,ubuntu-24.04-v2,0.7104,0.3187,13.148,130.15,1.3442,2,0.901,191.7,317.95,0,train
37,ap-northeast,ap-northeast-c12,m6i.2xlarge,stable,ubuntu-24.04-v1,0.2619,0.2982,4.921,98.0,0.0134,3,0.8404,1113.4,269.89,0,test
38,me-central,me-central-c02,r6i.2xlarge,stable,ubuntu-22.04-v3,0.3368,0.5583,7.297,101.32,0.0314,11,0.9107,83.4,321.17,0,train
39,ap-south,ap-south-c09,c6i.4xlarge,stable,al2023-v3,0.6489,0.4853,10.974,540.81,0.3567,11,0.9725,66.0,368.85,0,train
